wavelength,alpha_base,alpha_em,alpha_pm,alpha_oxy,alpha_deoxy
400,1.0,1.0,1.0,0.3583942410107614,0.6443972273503084
410,0.8745473926546687,0.9210634064021346,0.8893273310743647,0.3571822088368164,0.6707652652478318
420,0.7666834487016029,0.8500405313578482,0.7931417832646465,0.36735593344841516,0.6792295099097845
430,0.6739422083933512,0.7859769575630849,0.7092670667391096,0.38898887134094834,0.6697551290536069
440,0.59420344362451,0.7280519315751423,0.635894026789306,0.43776398428031,0.6966456511895225
450,0.525644185782724,0.6755571583956916,0.5715122167314302,0.5293275057846991,0.8142046048277545
460,0.46669704947527435,0.6278793378794484,0.5148553836073048,0.6292283395159217,0.9421087463861508
470,0.41601439933825346,0.5844857188375141,0.4648578118692798,0.7028684761450031,1.0
480,0.3724375407184559,0.5449120986957102,0.42061918860600955,0.7848459250009182,0.9193284335922534
490,0.33497022987271263,0.5087528142684787,0.3813761925466252,0.9097586954126419,0.6314744505207427
500,0.30275589808116415,0.47565236087244606,0.3464794156042041,1.0,0.37646730990281796
510,0.2750580689775876,0.4452983487780641,0.3153745343874949,0.9779263231351233,0.39426660629071025
520,0.2512435214024556,0.4174155624907519,0.28758688485170497,0.8190766518529401,0.45748719913615943
530,0.23076781285188905,0.39176093303980847,0.2627087743158281,0.4990267014360745,0.33874394789090534
540,0.2131628325630532,0.3681192689703067,0.240389004879996,0.1895177581077607,0.18178968267790588
550,0.19802609967760088,0.3462996200914611,0.22032419078816282,0.06236456458662358,0.1304120659026786
560,0.1850115618203315,0.3261321707772541,0.20225153692235326,0.036287508722958835,0.12550071406179247
570,0.17382168373236676,0.3074655779308965,0.1859428119512561,0.030153891357843323,0.10787557908669755
580,0.16420064509106208,0.2901646835356958,0.1711993018855218,0.03268814044881919,0.08690654498589293
590,0.1559284920068353,0.2741085437388107,0.15784757109662972,0.032577955705733276,0.0720679926155561
600,0.14881610848983043,0.25918872621257394,0.14573589066012466,0.031696477761046025,0.061862133825629606
610,0.14270089292528548,0.2453078355517016,0.13473122004392446,0.03188011899952253,0.054895677313734376
620,0.13744304071421665,0.23237823304187233,0.12471664910667246,0.03349616189811584,0.05005399003796719
630,0.13292234809403783,0.22032092255170024,0.1155892242038328,0.036911888933778975,0.04622243895642482
640,0.12903546406882388,0.20906457877548892,0.1072580957775782,0.041760017629558895,0.04308753352607196
650,0.1256935276235042,0.19854469776362624,0.09964293579885225,0.04759980901311199,0.040335783203873356
660,0.1228201362045407,0.1887028527615652,0.09267258235959268,0.053880339369008705,0.038350343097983214
670,0.12034959902298062,0.17948604095009224,0.0862838759913244,0.06005068498181953,0.037375039186317884
680,0.11822543524731495,0.17084610883028575,0.08042065823779625,0.06651485657619276,0.0379323557072695
690,0.11639908275218634,0.16273924580016857,0.0750329078911707,0.07360340838138613,0.04047511233411125
700,0.11482878790266741,0.15512553698665674,0.07007599431790906,0.08127961214970433,0.04848653732279077
710,0.11347865099262255,0.14796856767501798,0.06551003061501173,0.0894332831380615,0.06555435577693407
720,0.11231780551419283,0.14123507275876154,0.06129931208023576,0.0970727586586844,0.08499076944512174
730,0.11131971249505902,0.13489462554856668,0.05741182775618296,0.10320637602379992,0.10017764464105335
740,0.11046155377078916,0.12891936105658466,0.05381883470223219,0.10743012450875969,0.10547215159009371
750,0.10972371032140849,0.12328372953453288,0.05049448622847817,0.10930326514122013,0.09526629280016721
760,0.10908931374604632,0.11796427660891498,0.04741550664751363,0.10897271091196241,0.0792086105402487
770,0.10854386062158058,0.11293944683976662,0.04456090620807972,0.10647519006868182,0.06687798251419416
780,0.1080748809288394,0.10818940794328305,0.04191173080603393,0.10114959415286297,0.06231495349890279
